Experiment,i,Mass,Coupling,Signal_Strength
OGTPC1,29,2.000000e+00,2.782559e-07,0.000000
OGTPC1,39,2.000000e+00,4.641589e-07,0.000000
OGTPC1,28,1.110095e+00,2.782559e-07,0.000000
OGTPC1,38,1.110095e+00,4.641589e-07,0.000000
OGTPC1,47,6.161550e-01,7.742637e-07,0.000000
OGTPC1,19,2.000000e+00,1.668101e-07,0.000000
OGTPC1,49,2.000000e+00,7.742637e-07,0.000000
OGTPC1,48,1.110095e+00,7.742637e-07,0.000000
OGTPC1,9,2.000000e+00,1.000000e-07,0.000000
OGTPC1,18,1.110095e+00,1.668101e-07,0.002803
OGTPC1,57,6.161550e-01,1.291550e-06,0.000000
OGTPC1,58,1.110095e+00,1.291550e-06,0.000000
OGTPC1,56,3.419952e-01,1.291550e-06,14.907834
OGTPC1,59,2.000000e+00,1.291550e-06,0.000000
OGTPC1,46,3.419952e-01,7.742637e-07,50.808419
OGTPC1,7,6.161550e-01,1.000000e-07,0.374210
OGTPC1,6,3.419952e-01,1.000000e-07,0.503486
OGTPC1,27,6.161550e-01,2.782559e-07,1.240950
OGTPC1,37,6.161550e-01,4.641589e-07,0.232673
OGTPC1,36,3.419952e-01,4.641589e-07,39.605950
OGTPC1,66,3.419952e-01,2.154435e-06,0.000000
OGTPC1,67,6.161550e-01,2.154435e-06,0.000000
OGTPC1,17,6.161550e-01,1.668101e-07,0.890463
OGTPC1,16,3.419952e-01,1.668101e-07,3.746900
OGTPC1,5,1.898235e-01,1.000000e-07,0.267161
OGTPC1,68,1.110095e+00,2.154435e-06,0.000000
OGTPC1,8,1.110095e+00,1.000000e-07,0.018358
OGTPC1,69,2.000000e+00,2.154435e-06,0.000000
OGTPC1,26,3.419952e-01,2.782559e-07,18.070585
OGTPC1,76,3.419952e-01,3.593814e-06,0.000000
OGTPC1,77,6.161550e-01,3.593814e-06,0.000000
OGTPC1,78,1.110095e+00,3.593814e-06,0.000000
OGTPC1,79,2.000000e+00,3.593814e-06,0.000000
OGTPC1,45,1.898235e-01,7.742637e-07,409.484444
OGTPC1,25,1.898235e-01,2.782559e-07,16.050911
OGTPC1,35,1.898235e-01,4.641589e-07,108.331426
OGTPC1,55,1.898235e-01,1.291550e-06,731.366969
OGTPC1,15,1.898235e-01,1.668101e-07,2.077441
OGTPC1,4,1.053610e-01,1.000000e-07,0.111760
OGTPC1,86,3.419952e-01,5.994843e-06,0.000000
OGTPC1,34,1.053610e-01,4.641589e-07,51.802676
OGTPC1,87,6.161550e-01,5.994843e-06,0.000000
OGTPC1,12,3.245936e-02,1.668101e-07,0.035827
OGTPC1,89,2.000000e+00,5.994843e-06,0.000000
OGTPC1,88,1.110095e+00,5.994843e-06,0.000000
OGTPC1,44,1.053610e-01,7.742637e-07,401.250386
OGTPC1,1,1.801648e-02,1.000000e-07,0.000602
OGTPC1,24,1.053610e-01,2.782559e-07,6.698587
OGTPC1,95,1.898235e-01,1.000000e-05,0.000000
OGTPC1,14,1.053610e-01,1.668101e-07,0.865590
OGTPC1,96,3.419952e-01,1.000000e-05,0.000000
OGTPC1,98,1.110095e+00,1.000000e-05,0.000000
OGTPC1,97,6.161550e-01,1.000000e-05,0.000000
OGTPC1,23,5.848035e-02,2.782559e-07,1.713909
OGTPC1,99,2.000000e+00,1.000000e-05,0.000000
OGTPC1,75,1.898235e-01,3.593814e-06,390.367115
OGTPC1,13,5.848035e-02,1.668101e-07,0.221364
OGTPC1,65,1.898235e-01,2.154435e-06,759.508507
OGTPC1,54,1.053610e-01,1.291550e-06,2585.905838
OGTPC1,0,1.000000e-02,1.000000e-07,0.000072
OGTPC1,3,5.848035e-02,1.000000e-07,0.028590
OGTPC1,85,1.898235e-01,5.994843e-06,6.673423
OGTPC1,32,3.245936e-02,4.641589e-07,2.146422
OGTPC1,52,3.245936e-02,1.291550e-06,128.707648
OGTPC1,30,1.000000e-02,4.641589e-07,0.033509
OGTPC2,9,2.000000e+00,1.000000e-07,0.000000
OGTPC1,41,1.801648e-02,7.742637e-07,2.163899
OGTPC1,84,1.053610e-01,5.994843e-06,9432.232017
OGTPC1,31,1.801648e-02,4.641589e-07,0.279482
OGTPC1,51,1.801648e-02,1.291550e-06,16.754417
OGTPC1,22,3.245936e-02,2.782559e-07,0.277222
OGTPC1,42,3.245936e-02,7.742637e-07,16.628970
OGTPC1,20,1.000000e-02,2.782559e-07,0.004328
OGTPC1,2,3.245936e-02,1.000000e-07,0.004627
OGTPC2,19,2.000000e+00,1.668101e-07,0.000000
OGTPC1,10,1.000000e-02,1.668101e-07,0.000559
OGTPC1,43,5.848035e-02,7.742637e-07,102.773712
OGTPC1,33,5.848035e-02,4.641589e-07,13.269926
OGTPC1,53,5.848035e-02,1.291550e-06,794.251055
OGTPC1,21,1.801648e-02,2.782559e-07,0.036096
OGTPC1,94,1.053610e-01,1.000000e-05,5952.872273
OGTPC1,11,1.801648e-02,1.668101e-07,0.004662
OGTPC1,40,1.000000e-02,7.742637e-07,0.259446
OGTPC1,50,1.000000e-02,1.291550e-06,2.008814
OGTPC2,28,1.110095e+00,2.782559e-07,0.000000
OGTPC1,62,3.245936e-02,2.154435e-06,996.566592
OGTPC1,64,1.053610e-01,2.154435e-06,7492.748451
OGTPC2,29,2.000000e+00,2.782559e-07,0.000000
OGTPC1,72,3.245936e-02,3.593814e-06,7713.086588
OGTPC1,74,1.053610e-01,3.593814e-06,13690.837702
OGTPC1,60,1.000000e-02,2.154435e-06,15.553495
OGTPC1,61,1.801648e-02,2.154435e-06,129.720779
OGTPC2,39,2.000000e+00,4.641589e-07,0.000000
OGTPC2,38,1.110095e+00,4.641589e-07,0.000000
OGTPC1,90,1.000000e-02,1.000000e-05,7219.065614
OGTPC2,6,3.419952e-01,1.000000e-07,0.497504
OGTPC1,73,5.848035e-02,3.593814e-06,38944.770722
OGTPC2,7,6.161550e-01,1.000000e-07,0.375662
OGTPC2,8,1.110095e+00,1.000000e-07,0.018258
OGTPC2,18,1.110095e+00,1.668101e-07,0.002803
OGTPC2,15,1.898235e-01,1.668101e-07,2.059888
OGTPC1,83,5.848035e-02,5.994843e-06,114884.933287
OGTPC2,17,6.161550e-01,1.668101e-07,0.889048
OGTPC1,63,5.848035e-02,2.154435e-06,6118.556543
OGTPC2,5,1.898235e-01,1.000000e-07,0.265134
OGTPC1,70,1.000000e-02,3.593814e-06,120.424713
OGTPC2,49,2.000000e+00,7.742637e-07,0.000000
OGTPC2,47,6.161550e-01,7.742637e-07,0.000000
OGTPC2,27,6.161550e-01,2.782559e-07,1.239548
OGTPC2,48,1.110095e+00,7.742637e-07,0.000000
OGTPC1,71,1.801648e-02,3.593814e-06,1004.353718
OGTPC2,58,1.110095e+00,1.291550e-06,0.000000
OGTPC2,57,6.161550e-01,1.291550e-06,0.000000
OGTPC2,59,2.000000e+00,1.291550e-06,0.000000
OGTPC2,26,3.419952e-01,2.782559e-07,18.164611
OGTPC2,14,1.053610e-01,1.668101e-07,0.864917
OGTPC2,16,3.419952e-01,1.668101e-07,3.740759
OGTPC2,0,1.000000e-02,1.000000e-07,0.000072
OGTPC2,25,1.898235e-01,2.782559e-07,15.920640
OGTPC1,82,3.245936e-02,5.994843e-06,59420.268797
OGTPC2,66,3.419952e-01,2.154435e-06,0.000000
OGTPC2,67,6.161550e-01,2.154435e-06,0.000000
OGTPC2,61,1.801648e-02,2.154435e-06,129.654570
OGTPC2,68,1.110095e+00,2.154435e-06,0.000000
OGTPC1,80,1.000000e-02,5.994843e-06,932.397577
OGTPC2,69,2.000000e+00,2.154435e-06,0.000000
OGTPC2,51,1.801648e-02,1.291550e-06,16.745689
OGTPC1,93,5.848035e-02,1.000000e-05,222526.836385
OGTPC2,56,3.419952e-01,1.291550e-06,15.096400
OGTPC2,4,1.053610e-01,1.000000e-07,0.111676
OGTPC1,81,1.801648e-02,5.994843e-06,7775.581593
OGTPC2,77,6.161550e-01,3.593814e-06,0.000000
OGTPC2,76,3.419952e-01,3.593814e-06,0.000000
OGTPC2,35,1.898235e-01,4.641589e-07,108.446138
OGTPC2,79,2.000000e+00,3.593814e-06,0.000000
OGTPC2,37,6.161550e-01,4.641589e-07,0.237084
OGTPC2,78,1.110095e+00,3.593814e-06,0.000000
OGTPC1,92,3.245936e-02,1.000000e-05,403676.084271
OGTPC2,46,3.419952e-01,7.742637e-07,50.444748
OGTPC2,86,3.419952e-01,5.994843e-06,0.000000
OGTPC2,12,3.245936e-02,1.668101e-07,0.035759
OGTPC2,36,3.419952e-01,4.641589e-07,39.581790
OGTPC2,74,1.053610e-01,3.593814e-06,13687.810365
OGTPC2,34,1.053610e-01,4.641589e-07,51.770729
OGTPC2,89,2.000000e+00,5.994843e-06,0.000000
OGTPC2,87,6.161550e-01,5.994843e-06,0.000000
OGTPC1,91,1.801648e-02,1.000000e-05,60189.293211
OGTPC2,88,1.110095e+00,5.994843e-06,0.000000
OGTPC2,32,3.245936e-02,4.641589e-07,2.141901
OGTPC2,70,1.000000e-02,3.593814e-06,120.237323
OGTPC2,96,3.419952e-01,1.000000e-05,0.000000
OGTPC2,95,1.898235e-01,1.000000e-05,0.000000
OGTPC2,97,6.161550e-01,1.000000e-05,0.000000
OGTPC2,23,5.848035e-02,2.782559e-07,1.715189
OGTPC2,65,1.898235e-01,2.154435e-06,760.740909
OGTPC2,98,1.110095e+00,1.000000e-05,0.000000
OGTPC2,99,2.000000e+00,1.000000e-05,0.000000
OGTPC2,24,1.053610e-01,2.782559e-07,6.693728
OGTPC2,2,3.245936e-02,1.000000e-07,0.004619
OGTPC2,10,1.000000e-02,1.668101e-07,0.000558
OGTPC2,90,1.000000e-02,1.000000e-05,7208.057484
OGTPC2,11,1.801648e-02,1.668101e-07,0.004660
OGTPC2,3,5.848035e-02,1.000000e-07,0.028611
OGTPC3,9,2.000000e+00,1.000000e-07,0.000000
OGTPC3,0,1.000000e-02,1.000000e-07,0.000072
OGTPC2,1,1.801648e-02,1.000000e-07,0.000602
OGTPC3,8,1.110095e+00,1.000000e-07,0.018301
OGTPC2,33,5.848035e-02,4.641589e-07,13.279703
OGTPC2,31,1.801648e-02,4.641589e-07,0.279336
OGTPC2,75,1.898235e-01,3.593814e-06,395.457029
OGTPC2,45,1.898235e-01,7.742637e-07,409.370626
OGTPC2,13,5.848035e-02,1.668101e-07,0.221525
OGTPC2,55,1.898235e-01,1.291550e-06,734.829243
OGTPC2,21,1.801648e-02,2.782559e-07,0.036078
OGTPC3,19,2.000000e+00,1.668101e-07,0.000000
OGTPC2,94,1.053610e-01,1.000000e-05,5935.062596
OGTPC2,22,3.245936e-02,2.782559e-07,0.276638
OGTPC2,85,1.898235e-01,5.994843e-06,6.673423
OGTPC2,30,1.000000e-02,4.641589e-07,0.033457
OGTPC2,20,1.000000e-02,2.782559e-07,0.004321
OGTPC2,84,1.053610e-01,5.994843e-06,9429.909774
OGTPC3,14,1.053610e-01,1.668101e-07,0.861659
OGTPC3,12,3.245936e-02,1.668101e-07,0.035813
OGTPC3,29,2.000000e+00,2.782559e-07,0.000000
OGTPC3,28,1.110095e+00,2.782559e-07,0.000000
OGTPC2,44,1.053610e-01,7.742637e-07,401.333332
OGTPC2,40,1.000000e-02,7.742637e-07,0.259045
OGTPC2,54,1.053610e-01,1.291550e-06,2569.604591
OGTPC3,30,1.000000e-02,4.641589e-07,0.033420
OGTPC3,31,1.801648e-02,4.641589e-07,0.279375
OGTPC2,43,5.848035e-02,7.742637e-07,102.838043
OGTPC2,42,3.245936e-02,7.742637e-07,16.597784
OGTPC3,38,1.110095e+00,4.641589e-07,0.000000
OGTPC3,18,1.110095e+00,1.668101e-07,0.002743
OGTPC3,39,2.000000e+00,4.641589e-07,0.000000
OGTPC3,6,3.419952e-01,1.000000e-07,0.498812
OGTPC2,41,1.801648e-02,7.742637e-07,2.162794
OGTPC3,37,6.161550e-01,4.641589e-07,0.237084
OGTPC2,53,5.848035e-02,1.291550e-06,794.730542
OGTPC3,36,3.419952e-01,4.641589e-07,39.604191
OGTPC3,7,6.161550e-01,1.000000e-07,0.375706
OGTPC3,47,6.161550e-01,7.742637e-07,0.000000
OGTPC3,48,1.110095e+00,7.742637e-07,0.000000
OGTPC3,49,2.000000e+00,7.742637e-07,0.000000
OGTPC2,64,1.053610e-01,2.154435e-06,7476.358441
OGTPC2,52,3.245936e-02,1.291550e-06,128.463954
OGTPC3,5,1.898235e-01,1.000000e-07,0.263014
OGTPC2,50,1.000000e-02,1.291550e-06,2.005709
OGTPC3,46,3.419952e-01,7.742637e-07,50.383019
OGTPC3,17,6.161550e-01,1.668101e-07,0.879309
OGTPC3,57,6.161550e-01,1.291550e-06,0.000000
OGTPC3,45,1.898235e-01,7.742637e-07,412.128884
OGTPC2,63,5.848035e-02,2.154435e-06,6121.417947
OGTPC3,58,1.110095e+00,1.291550e-06,0.000000
OGTPC3,16,3.419952e-01,1.668101e-07,3.753552
OGTPC3,59,2.000000e+00,1.291550e-06,0.000000
OGTPC2,60,1.000000e-02,2.154435e-06,15.529615
OGTPC3,56,3.419952e-01,1.291550e-06,15.441410
OGTPC3,27,6.161550e-01,2.782559e-07,1.233676
OGTPC3,15,1.898235e-01,1.668101e-07,2.042725
OGTPC3,26,3.419952e-01,2.782559e-07,18.155716
OGTPC3,66,3.419952e-01,2.154435e-06,0.000000
OGTPC3,68,1.110095e+00,2.154435e-06,0.000000
OGTPC3,67,6.161550e-01,2.154435e-06,0.000000
OGTPC3,69,2.000000e+00,2.154435e-06,0.000000
OGTPC2,73,5.848035e-02,3.593814e-06,38903.019276
OGTPC3,25,1.898235e-01,2.782559e-07,15.757803
OGTPC2,62,3.245936e-02,2.154435e-06,994.762478
OGTPC3,4,1.053610e-01,1.000000e-07,0.111253
OGTPC3,51,1.801648e-02,1.291550e-06,16.748052
OGTPC2,93,5.848035e-02,1.000000e-05,222414.981537
OGTPC3,63,5.848035e-02,2.154435e-06,6118.242037
OGTPC3,77,6.161550e-01,3.593814e-06,0.000000
OGTPC3,76,3.419952e-01,3.593814e-06,0.000000
OGTPC3,65,1.898235e-01,2.154435e-06,759.895542
OGTPC3,78,1.110095e+00,3.593814e-06,0.000000
OGTPC3,79,2.000000e+00,3.593814e-06,0.000000
OGTPC2,72,3.245936e-02,3.593814e-06,7697.009413
OGTPC2,71,1.801648e-02,3.593814e-06,1003.830680
OGTPC2,83,5.848035e-02,5.994843e-06,115275.792363
OGTPC2,92,3.245936e-02,1.000000e-05,403054.764686
OGTPC3,86,3.419952e-01,5.994843e-06,0.000000
OGTPC3,84,1.053610e-01,5.994843e-06,9443.721339
OGTPC2,80,1.000000e-02,5.994843e-06,930.956381
OGTPC2,82,3.245936e-02,5.994843e-06,59300.235511
OGTPC3,88,1.110095e+00,5.994843e-06,0.000000
OGTPC3,87,6.161550e-01,5.994843e-06,0.000000
OGTPC2,81,1.801648e-02,5.994843e-06,7771.614447
OGTPC3,89,2.000000e+00,5.994843e-06,0.000000
OGTPC3,95,1.898235e-01,1.000000e-05,0.000000
OGTPC3,96,3.419952e-01,1.000000e-05,0.000000
OGTPC2,91,1.801648e-02,1.000000e-05,60160.505954
OGTPC3,3,5.848035e-02,1.000000e-07,0.028573
OGTPC3,97,6.161550e-01,1.000000e-05,0.000000
OGTPC3,98,1.110095e+00,1.000000e-05,0.000000
OGTPC3,35,1.898235e-01,4.641589e-07,107.061060
OGTPC3,99,2.000000e+00,1.000000e-05,0.000000
OGTPC3,80,1.000000e-02,5.994843e-06,929.910293
OGTPC3,24,1.053610e-01,2.782559e-07,6.668222
OGTPC3,82,3.245936e-02,5.994843e-06,59361.797320
OGTPC3,33,5.848035e-02,4.641589e-07,13.261526
OGTPC3,13,5.848035e-02,1.668101e-07,0.221228
OGTPC3,2,3.245936e-02,1.000000e-07,0.004625
OGTPC3,1,1.801648e-02,1.000000e-07,0.000602
OGTPC3,75,1.898235e-01,3.593814e-06,389.688764
OGTPC3,34,1.053610e-01,4.641589e-07,51.557277
OGTPC3,90,1.000000e-02,1.000000e-05,7199.733796
OGTPC3,55,1.898235e-01,1.291550e-06,736.525908
OGTPC3,10,1.000000e-02,1.668101e-07,0.000557
OGTPC3,23,5.848035e-02,2.782559e-07,1.712861
OGTPC3,44,1.053610e-01,7.742637e-07,399.533656
OGTPC3,11,1.801648e-02,1.668101e-07,0.004660
OGTPC3,21,1.801648e-02,2.782559e-07,0.036083
OGTPC3,20,1.000000e-02,2.782559e-07,0.004316
OGTPC3,85,1.898235e-01,5.994843e-06,6.673423
OGTPC3,32,3.245936e-02,4.641589e-07,2.145754
OGTPC3,22,3.245936e-02,2.782559e-07,0.277139
OGTPC3,41,1.801648e-02,7.742637e-07,2.163099
OGTPC3,94,1.053610e-01,1.000000e-05,5916.631822
OGTPC3,40,1.000000e-02,7.742637e-07,0.258759
OGTPC3,54,1.053610e-01,1.291550e-06,2565.574257
OGTPC3,53,5.848035e-02,1.291550e-06,793.649404
OGTPC3,83,5.848035e-02,5.994843e-06,115346.241385
OGTPC3,43,5.848035e-02,7.742637e-07,102.692531
OGTPC3,50,1.000000e-02,1.291550e-06,2.003476
OGTPC3,42,3.245936e-02,7.742637e-07,16.622696
OGTPC3,74,1.053610e-01,3.593814e-06,13693.013442
OGTPC3,61,1.801648e-02,2.154435e-06,129.672841
OGTPC3,62,3.245936e-02,2.154435e-06,996.499536
OGTPC3,52,3.245936e-02,1.291550e-06,128.696330
OGTPC3,64,1.053610e-01,2.154435e-06,7487.177667
OGTPC3,71,1.801648e-02,3.593814e-06,1003.982492
OGTPC3,60,1.000000e-02,2.154435e-06,15.512164
OGTPC3,70,1.000000e-02,3.593814e-06,120.104706
OGTPC3,73,5.848035e-02,3.593814e-06,38864.627244
OGTPC3,72,3.245936e-02,3.593814e-06,7710.606505
OGTPC3,81,1.801648e-02,5.994843e-06,7772.708889
OGTPC3,93,5.848035e-02,1.000000e-05,222770.251670
OGTPC3,91,1.801648e-02,1.000000e-05,60167.066629
OGTPC3,92,3.245936e-02,1.000000e-05,402911.298350
